ZIP Code,Latitude,Longitude
95131,37.3902956,-121.8961047
94965,37.8444843,-122.5089856
91784,34.1616368,-117.6552185
91765,33.9945546,-117.8135579
90280,33.9432948,-118.188329
95422,38.9713832,-122.6616518
95518,40.87,-124.08
95193,37.23999999999999,-121.83
92694,33.5507512,-117.6411674
90275,33.7456493,-118.3637264
90272,34.0845245,-118.5447787
91791,34.0566376,-117.8956062
92705,33.7532358,-117.7901088
91773,34.1009953,-117.8194197
93003,34.2985355,-119.2204548
90755,33.8020217,-118.1678543
96145,39.1384824,-120.1647036
94703,37.85247409999999,-122.2738958
96094,41.4597837,-122.4329242
95842,38.68988880000001,-121.3484448
94116,37.7432421,-122.497668
90068,34.1235157,-118.3286614
94970,37.9105306,-122.6333973
90813,33.7844997,-118.1971031
94404,37.5549479,-122.2710602
94598,37.89618249999999,-121.9814354
